⺼	rou
𣠫	yu
𣠭	duan
𣠮	wu
𣠯	shuan
𣠴	xi
𣠵	yu
𣠷	jian
𣠸	shuan
𣠹	zui
𣠹	zuo
𣠺	qie
𣠻	bai
𣠼	lao
𣠽	ba
𣠾	luo
𣠿	jian
𣡀	huo
𣡁	pie
𣡂	ma
𣡂	mi
𣡂	mo
𣡃	nian
𣡃	zhan
𣡃	zhen
𣡆	sang
𣡇	yu
𣡈	fei
𣡈	guo
𣡉	yu
𣡊	yi
𣡋	ni
𣡌	nie
𣡍	ji
𣡎	cen
𣡏	nang
𣡐	su
𣡑	ju
𣡒	qu
𣡓	jian
𣡓	kan
𣡔	ku
𣡕	yan
𣡖	bai
𣡗	chua
𣡗	ruan
𣡘	cao
𣡛	jiu
𣡜	yu
𣡞	yan
𣡟	die
𣡠	mian
𣡡	yu
𣡣	dian
𣡣	qin
𣡣	shan
𣡣	tan
𣡣	yan
𣡦	nang
𣡧	lei
𣡨	yu
𣡩	wan
𣡪	nang
𣡫	jue
𣡫	qiao
𣡫	que
𣡬	shuan
𣡭	die
𣡮	ju
𣡯	ba
𣡯	pa
𣡯	wei
𣡰	na
𣡱	yu
𣡲	xi
𣡳	tai
𣡴	ju
𣡵	luan
𣡶	yan
𣡷	li
𣡸	yu
𣡺	lei
𣡻	qu
𣡼	li
𣡽	sha
𣡾	hu
𣡿	cuan
𣡿	zuan
𣢀	shen
𣢁	xi
𣢂	xi
𣢃	zi
𣢄	you
𣢅	han
𣢆	chi
𣢆	ji
𣢆	qi
𣢇	hai
𣢇	xi
𣢈	kan
𣢉	wa
𣢊	xu
𣢋	pi
𣢌	tan
𣢍	xi
𣢎	xi
𣢏	bin
𣢐	keng
𣢐	qin
𣢑	xi
𣢒	yu
𣢓	xi
𣢔	qi
𣢕	ci
𣢖	qian
𣢗	xia
𣢘	shen
𣢙	zi
𣢚	wa
𣢛	e
𣢜	you
𣢝	xing
𣢞	ni
𣢟	han
𣢟	xian
𣢠	bi
𣢡	sheng
𣢢	huan
𣢢	you
𣢣	ji
𣢤	zhan
𣢥	dian
𣢦	yu
𣢧	yu
𣢨	ou
𣢩	xie
𣢪	gui
𣢫	wang
𣢬	qian
𣢭	yi
𣢮	yi
𣢯	gu
𣢰	zu
𣢱	xia
𣢲	qian
𣢳	ding
𣢴	keng
𣢶	chu
𣢷	ou
𣢷	yi
𣢸	kuan
𣢹	qian
𣢺	han
𣢺	yi
𣢻	kuan
𣢼	ji
𣢽	qian
𣢾	kuan
𣢿	mu
𣣂	pei
𣣂	pou
𣣅	ying
𣣇	kuan
𣣈	dian
𣣉	xi
𣣊	zi
𣣋	ling
𣣌	si
𣣌	zi
𣣍	hu
𣣎	yu
𣣏	hun
𣣏	xi
𣣐	xi
𣣑	si
𣣒	kan
𣣓	qian
𣣔	yu
𣣕	hu
𣣖	han
𣣗	ku
𣣙	kuan
𣣚	an
𣣛	chui
𣣜	you
𣣜	yu
𣣝	ji
𣣞	hun
𣣞	zi
𣣟	qia
𣣠	hou
𣣡	hou
𣣡	zi
𣣢	dai
𣣢	yi
𣣣	dian
𣣤	xi
𣣥	he
𣣥	ye
𣣥	zi
𣣦	xia
𣣧	you
𣣨	sha
𣣩	xie
𣣪	kan
𣣫	qi
𣣬	zi
𣣭	han
𣣭	she
𣣮	sha
𣣯	chi
𣣯	chuai
𣣰	si
𣣰	zi
𣣱	qi
𣣱	yi
𣣲	xie
𣣳	yao
𣣴	da
𣣵	yao
𣣶	xie
𣣷	chi
𣣸	you
𣣹	he
𣣹	zi
𣣺	sha
𣣻	jian
𣣻	kan
𣣻	qian
𣣼	ai
𣣼	yi
𣣽	qin
𣣾	ya
𣣿	tai
𣤀	chuan
𣤁	zhu
𣤂	kuan
𣤃	ai
𣤃	ao
𣤄	he
𣤅	hu
𣤆	fei
𣤇	que
𣤈	ze
𣤉	tan
𣤊	la
𣤋	lou
𣤌	chi
𣤌	chuai
𣤌	chuo
𣤍	yao
𣤎	you
𣤏	tou
𣤏	yu
𣤐	yu
𣤑	ge
𣤒	ge
𣤓	you
𣤔	yu
𣤕	chu
𣤖	ti
𣤗	yin
𣤘	shi
𣤙	xiao
𣤚	jiao
𣤛	chua
𣤛	xu
𣤜	zui
𣤝	ru
𣤞	xi
𣤟	za
𣤟	zan
𣤟	zu
𣤠	hui
𣤠	yue
𣤡	xiao
𣤡	you
𣤢	xi
𣤣	yao
𣤤	li
𣤥	xie
𣤦	you
𣤧	rui
𣤨	huo
𣤩	chi
𣤪	yi
𣤫	chou
𣤬	e
𣤭	jian
𣤯	shu
𣤰	yue
𣤱	chan
𣤲	e
𣤳	xi
𣤴	xi
𣤵	ying
𣤶	za
𣤶	zan
𣤶	zu
𣤷	za
𣤸	rang
𣤹	jiao
𣤺	za
𣤻	se
𣤻	shai
𣤼	xi
𣤽	rang
𣤾	huo
𣤿	gua
𣥀	yu
𣥁	han
𣥁	tan
𣥂	ta
𣥃	wan
𣥄	fa
𣥅	ci
𣥆	chuo
𣥆	zheng
𣥇	xin
𣥈	huang
𣥈	hui
𣥉	zhi
𣥊	wang
𣥋	fu
𣥌	huan
𣥍	jin
𣥎	zhan
𣥏	lv
𣥐	lu
𣥐	lv
𣥑	qian
𣥒	se
𣥒	sha
𣥓	lu
𣥓	lv
𣥔	zheng
𣥕	zou
𣥖	qi
𣥗	ta
𣥘	hu
𣥙	wang
𣥚	zou
𣥜	zhi
𣥞	jian
𣥟	zhan
𣥠	bo
𣥡	yan
𣥢	mang
𣥢	wang
𣥣	bi
𣥤	ken
𣥥	guan
𣥦	gen
𣥧	zhu
𣥨	zi
𣥩	she
𣥪	jin
𣥫	chi
𣥫	chuo
𣥭	zhan
𣥮	kui
𣥯	zhou
𣥰	zhi
𣥲	tu
𣥳	tu
𣥴	si
𣥶	bu
𣥶	dui
𣥶	fu
𣥷	ta
𣥷	tan
𣥸	rui
𣥹	chu
𣥺	cheng
𣥻	cheng
𣥼	zhu
𣥽	du
𣥾	da
𣥿	she
𣦁	zhu
𣦂	chu
𣦃	jian
𣦃	qian
𣦄	wei
𣦄	xu
𣦅	sui
𣦇	bi
𣦈	chu
𣦈	chuo
𣦉	jia
𣦊	chi
𣦊	chuo
𣦋	chi
𣦋	chuo
𣦌	yi
𣦏	yue
𣦐	gang
𣦑	qu
𣦒	rui
𣦔	zheng
𣦕	duan
𣦖	gan
𣦗	chi
𣦗	chuo
𣦘	ci
𣦙	duan
𣦚	shu
𣦜	qiao
𣦝	dun
𣦞	kui
𣦟	zhong
𣦠	chu
𣦡	chu
𣦢	bi
𣦣	xu
𣦤	zheng
𣦥	qi
𣦦	gui
𣦧	zhui
𣦨	gui
𣦩	gu
𣦪	bing
𣦫	yin
𣦬	zhui
𣦭	gu
𣦯	li
𣦱	pei
𣦲	rui
𣦳	rui
𣦴	ben
𣦵	dai
𣦵	e
𣦵	zhen
𣦷	zha
𣦸	si
𣦹	si
𣦺	tian
𣦻	can
𣦼	can
𣦽	su
𣦿	xiu
𣧀	hong
𣧁	xiu
𣧂	ti
𣧃	du
𣧄	yi
𣧅	ti
𣧆	xue
𣧇	si
𣧈	die
𣧉	ji
𣧉	la
𣧉	yi
𣧊	niu
𣧋	si
𣧋	zi
𣧌	xue
𣧍	ne
𣧎	gui
𣧏	kao
𣧐	zha
𣧑	xiong
𣧒	chuan
𣧒	mo
𣧓	zhou
𣧔	gou
𣧔	gua
𣧔	xiu
𣧕	yao
𣧖	zha
𣧗	you
𣧘	chuan
𣧙	bai
𣧚	shi
𣧛	dian
𣧜	pa
𣧝	qiu
𣧞	chi
𣧟	hun
𣧟	mei
𣧠	tian
𣧡	xue
𣧢	tian
𣧣	mo
𣧤	ke
𣧥	you
𣧦	jiao
𣧧	bo
𣧨	ci
𣧩	zhong
𣧪	jue
𣧫	cu
𣧬	xiu
𣧭	yue
𣧮	gu
𣧮	ku
𣧰	ne
𣧱	shan
𣧲	mi
𣧳	luo
𣧴	yu
𣧵	xu
𣧵	xue
𣧶	piao
𣧷	duo
𣧸	si
𣧸	zi
𣧹	er
𣧺	shan
𣧻	can
𣧼	kui
𣧽	nao
𣧾	mian
𣧿	li
𣨀	luan
𣨁	ci
𣨂	die
𣨃	yu
𣨄	qia
𣨅	lei
𣨆	mao
𣨇	mao
𣨈	piao
𣨉	gu
𣨉	heng
𣨊	che
𣨋	zhi
𣨌	yan
𣨍	gu
𣨎	cuo
𣨏	mo
𣨐	cu
𣨑	yi
𣨓	wu
𣨔	tao
𣨖	cu
𣨗	xi
𣨘	yao
𣨙	wei
𣨚	die
𣨚	shi
𣨛	cu
𣨛	zu
𣨜	ma
𣨝	yu
𣨞	peng
𣨟	yi
𣨠	qin
𣨡	yue
𣨢	jue
𣨣	jiang
𣨤	xu
𣨥	beng
𣨦	jian
𣨧	shao
𣨨	mo
𣨪	luo
𣨫	ya
𣨫	zhui
𣨬	yan
𣨯	hun
𣨯	mei
𣨱	huo
𣨲	du
𣨳	xiang
𣨴	mei
𣨵	ai
𣨵	ke
𣨶	hui
𣨷	huo
𣨸	lai
𣨸	li
𣨹	yan
𣨺	gu
𣨻	hao
𣨻	kao
𣨼	ti
𣨾	xing
𣨿	du
𣨿	hun
𣩀	bian
𣩃	qing
𣩄	ai
𣩄	ke
𣩅	kao
𣩆	ming
𣩇	fu
𣩈	cuo
𣩈	zuo
𣩉	yi
𣩊	zhe
𣩋	cu
𣩌	feng
𣩍	lu
𣩎	mo
𣩏	lu
𣩐	su
𣩐	suo
𣩑	zui
𣩒	zao
𣩓	jiao
𣩔	guan
𣩕	su
𣩖	shuai
𣩗	lei
𣩘	zhu
𣩙	yan
𣩚	er
𣩚	mao
𣩛	zi
𣩜	qing
𣩝	xian
𣩞	xian
𣩟	deng
𣩠	si
𣩡	sui
𣩢	liao
𣩣	die
𣩣	shi
𣩦	jing
𣩦	qing
𣩧	shan
𣩨	die
𣩨	shi
𣩩	bi
𣩪	wei
𣩫	ye
𣩬	zi
𣩭	zhai
𣩮	kuai
𣩯	ye
𣩰	diao
𣩱	ai
𣩱	ke
𣩲	jin
𣩳	zan
𣩴	jiang
𣩵	bin
𣩶	xie
𣩷	su
𣩹	huai
𣩺	yu
𣩻	huai
𣩻	pei
𣩻	pi
𣩻	pou
𣩼	lan
𣩽	rang
𣩾	hong
𣩿	luo
𣪀	dian
𣪁	zuan
𣪂	ban
𣪄	qin
𣪅	ou
𣪆	sha
𣪇	jia
𣪉	pi
𣪊	hu
𣪊	jiang
𣪊	ke
𣪊	qiao
𣪊	que
𣪋	jiu
𣪌	dui
𣪌	tou
𣪍	dian
𣪎	hu
𣪎	jiang
𣪎	ke
𣪎	qiao
𣪎	que
𣪏	gan
𣪐	chou
𣪑	ying
𣪓	gan
𣪕	gui
𣪖	sha
𣪗	hu
𣪗	jiang
𣪗	ke
𣪗	qiao
𣪗	que
𣪘	gui
𣪙	jiu
𣪛	hu
𣪜	gu
𣪝	ku
𣪞	yan
𣪞	yin
𣪟	zhe
𣪠	ji
𣪠	qi
𣪡	wei
𣪢	cheng
𣪣	yi
𣪤	li
𣪥	hu
𣪧	jiao
𣪨	xue
𣪩	sha
𣪪	dian
𣪫	dian
𣪬	gou
𣪭	bian
𣪮	zai
𣪯	tong
𣪰	wan
𣪱	ai
𣪱	gu
𣪱	zhu
𣪲	zao
𣪳	hu
𣪴	yi
𣪵	dian
𣪶	shan
𣪷	hui
𣪸	gu
𣪹	que
𣪺	hu
𣪻	zao
𣪼	cheng
𣪽	jiao
𣪾	chou
𣪿	cheng
𣫀	gu
𣫁	qiao
𣫂	gu
𣫃	gou
𣫃	gu
𣫄	san
𣫅	hu
𣫆	qing
𣫇	ku
𣫈	hu
𣫉	kuai
𣫊	gu
𣫋	gu
𣫌	gou
𣫍	lian
𣫎	su
𣫏	hui
𣫐	chou
𣫑	chuan
𣫒	keng
𣫓	ku
𣫔	du
𣫖	yi
𣫗	gu
𣫘	que
𣫙	yi
𣫚	yi
𣫛	yi
𣫜	dao
𣫝	qiang
𣫞	zao
𣫟	dao
𣫠	kou
𣫡	kan
𣫢	lian
𣫣	long
𣫤	teng
𣫥	li
𣫦	ji
𣫦	xi
𣫧	li
𣫨	keng
𣫨	qing
𣫩	zao
𣫪	wei
𣫫	zao
𣫭	mei
𣫭	men
𣫮	hao
𣫯	fan
𣫰	jie
𣫱	qi
𣫳	jiang
𣫴	xie
𣫶	xu
𣫹	dai
𣫺	yu
𣫻	lou
𣫿	xiang
𣬀	xi
𣬂	guan
𣬄	lao
𣬅	bi
𣬆	pei
𣬇	lao
𣬈	pi
𣬉	pi
𣬊	bai
𣬋	chuo
𣬋	juan
𣬌	ci
𣬍	bei
𣬎	jue
𣬏	juan
𣬐	shi
𣬑	hun
𣬒	shi
𣬓	bai
𣬔	shi
𣬕	xie
𣬖	pi
𣬗	rui
𣬘	rui
𣬙	jing
𣬚	fu
𣬚	po
𣬛	san
𣬛	shan
𣬜	tu
𣬝	liao
𣬞	ben
𣬠	ji
𣬢	pao
𣬣	hu
𣬥	man
𣬦	ma
𣬦	xue
𣬦	yan
𣬧	hu
𣬨	ji
𣬩	fen
𣬪	bei
𣬫	ga
𣬫	jie
𣬬	sa
𣬭	ran
𣬮	pi
𣬳	ni
𣬴	di
𣬵	mao
𣬶	ba
𣬷	ba
𣬸	tiao
𣬹	ling
𣬺	sheng
𣬻	zhen
𣬼	bi
𣬼	pi
𣬽	wu
𣬾	mao
𣬿	ze
𣭀	bao
𣭁	bi
𣭂	qu
𣭄	ru
𣭅	mao
𣭆	tai
𣭇	lv
𣭈	bi
𣭋	ji
𣭔	ling
𣭖	hao
𣭗	dou
𣭘	fu
𣭙	ni
𣭜	mu
𣭝	ge
𣭞	er
𣭟	xian
𣭠	ru
𣭡	xian
𣭢	mao
𣭣	zhan
𣭤	bi
𣭦	hu
𣭪	gu
𣭭	mao
𣭮	mao
𣭮	quan
𣭱	xiao
𣭲	rong
𣭳	qiu
𣭳	qu
𣭴	shu
𣭵	shu
𣭶	jie
𣭷	bo
𣭸	he
𣭹	hao
𣭺	nao
𣭻	yan
𣭼	niao
𣭼	sui
𣭽	chen
𣮀	mao
𣮁	xi
𣮃	pao
𣮄	sui
𣮅	sha
𣮆	tuo
𣮈	jue
𣮈	qu
𣮉	lai
𣮉	li
𣮊	de
𣮋	mao
𣮌	jie
𣮍	jie
𣮎	gun
𣮏	jian
𣮐	bi
𣮑	jie
𣮒	jie
𣮓	ju
𣮔	qu
𣮕	ju
𣮖	mao
𣮗	mi
𣮛	jing
𣮝	hu
𣮟	san
𣮠	rong
𣮠	san
𣮡	bang
𣮢	chun
𣮣	jie
𣮤	zong
𣮥	ju
𣮦	nai
𣮧	bang
𣮨	die
𣮩	rong
𣮪	rong
𣮫	jia
𣮬	sou
𣮭	xian
𣮮	mei
𣮯	sou
𣮰	de
𣮱	jia
𣮲	tuo
𣮳	mao
𣮴	ju
𣮵	shu
𣮷	he
𣮸	sou
𣮹	rong
𣮻	zhan
𣮼	xu
𣮽	hu
𣮾	xian
𣮿	zhan
𣯀	mao
𣯁	shu
𣯂	pao
𣯃	zi
𣯄	yan
𣯅	ji
𣯆	qi
𣯇	he
𣯈	ta
𣯉	die
𣯊	bang
𣯋	ru
𣯌	suo
𣯍	rong
𣯎	wu
𣯏	rong
𣯐	rong
𣯑	qu
𣯒	qu
𣯓	bang
𣯔	sou
𣯕	mao
𣯗	cu
𣯙	qi
𣯚	ta
𣯛	mao
𣯜	sou
𣯝	cui
𣯞	bang
𣯟	bang
𣯠	cui
𣯢	sha
𣯣	men
𣯤	li
𣯥	jie
𣯦	ji
𣯧	cui
𣯧	sui
𣯨	zong
𣯩	men
𣯪	xi
𣯫	lv
𣯬	mang
𣯭	nie
𣯮	jie
𣯯	sui
𣯰	jie
𣯱	pei
𣯲	ju
𣯳	mu
𣯴	bi
𣯵	di
𣯶	san
𣯷	mao
𣯸	qu
𣯹	qiao
𣯺	san
𣯻	fen
𣯼	su
𣯽	pu
𣯾	ta
𣰃	xu
𣰄	xu
𣰅	ta
𣰆	deng
𣰇	rong
𣰈	ji
𣰉	chang
𣰊	nong
𣰋	qu
𣰌	he
𣰌	lie
𣰍	jie
𣰎	shu
𣰏	wei
𣰐	qiu
𣰔	dan
𣰔	shan
𣰔	zhan
𣰕	sao
𣰖	chua
𣰗	cui
𣰘	kun
𣰚	cui
𣰛	ji
𣰛	ye
𣰜	bing
𣰝	lv
𣰞	jie
𣰟	shu
𣰠	qu
𣰡	qu
𣰢	lv
𣰣	qu
𣰥	meng
𣰦	gan
𣰦	ran
𣰧	qu
𣰨	bin
𣰩	chao
𣰬	du
𣰭	die
𣰮	su
𣰯	lu
𣰰	qu
𣰲	rong
𣰶	nang
𣰶	rang
𣰷	xian
𣰸	die
𣰺	tao
𣰻	qu
𣰼	nie
𣰽	qu
𣰿	shu
𣱀	lu
𣱁	pu
𣱂	kun
𣱃	die
𣱄	ran
𣱅	mang
𣱅	meng
𣱇	ci
𣱇	si
𣱈	min
𣱉	min
𣱉	wen
𣱊	zhi
𣱋	di
𣱋	ti
𣱍	dan
𣱎	die
𣱎	zhi
𣱏	wu
𣱏	yu
𣱐	yin
𣱐	zhi
𣱑	yin
𣱑	zhi
𣱒	yin
𣱒	zhi
𣱓	hao
𣱓	xiao
𣱕	ji
𣱖	qi
𣱗	ji
𣱙	yin
𣱚	ji
𣱛	qi
𣱜	yin
𣱝	dong
𣱞	ji
𣱟	di
𣱠	li
𣱡	xun
𣱢	yang
𣱣	yin
𣱤	yi
𣱦	fen
𣱧	zhong
𣱩	xiao
𣱪	zhong
𣱫	gu
𣱮	qing
𣱯	zhong
𣱱	cha
𣱲	shu
𣱳	liu
𣱵	yong
𣱶	bu
𣱷	huo
𣱸	ni
𣱸	niao
𣱸	sui
𣱹	er
𣱺	pa
𣱻	si
𣱼	dao
𣱼	le
𣱽	zhen
𣱾	wa
𣱾	wu
𣱾	yu
𣲀	shan
𣲁	qi
𣲂	chuai
𣲃	dun
𣲄	jiu
𣲅	jiang
𣲆	ji
𣲆	qi
𣲇	han
𣲉	xi
𣲊	ke
𣲊	kei
𣲋	chi
𣲌	xun
𣲎	yin
𣲏	ji
𣲏	you
𣲑	chi
𣲑	he
𣲑	hu
𣲒	le
𣲒	li
𣲓	sha
𣲔	qi
𣲕	tan
𣲗	wei
𣲘	wu
𣲙	ni
𣲙	niao
𣲙	sui
𣲚	ren
𣲜	ying
𣲝	bing
𣲝	ning
𣲞	zha
𣲟	xie
𣲟	yi
𣲠	xi
𣲡	ji
𣲡	jie
𣲡	sha
𣲢	di
𣲣	e
𣲤	jie
𣲥	dan
𣲦	shao
𣲧	hu
𣲨	hu
𣲩	ba
𣲩	pa
𣲭	mao
𣲰	ji
𣲰	zhi
𣲱	tu
𣲲	he
𣲲	ni
𣲳	po
𣲴	fei
𣲵	zhi
𣲶	niu
𣲷	ni
𣲸	hui
𣲸	kuai
𣲹	tan
𣲺	jue
𣲻	ju
𣲼	chun
𣲽	rong
𣲾	guai
𣲿	nao
𣳀	zhi
𣳁	cang
𣳂	ke
𣳃	ji
𣳄	zhan
𣳅	li
𣳆	ping
𣳇	zuo
𣳊	ji
𣳋	fan
𣳎	pi
𣳏	zhi
𣳐	nv
𣳑	shen
𣳓	bian
𣳔	beng
𣳔	chong
𣳔	feng
𣳔	yong
𣳗	hai
𣳘	xie
𣳘	yi
𣳙	su
𣳚	mei
𣳚	mo
𣳛	pai
𣳜	fan
𣳜	jing
𣳝	pan
𣳞	hang
𣳟	jie
𣳠	hai
𣳠	mu
𣳡	sa
𣳡	yue
𣳣	ju
𣳤	zhan
𣳥	du
𣳦	nao
𣳦	xi
𣳩	zi
𣳪	shi
𣳫	wang
𣳬	xi
𣳭	piao
𣳮	chi
𣳮	lv
𣳮	shi
𣳮	zhao
𣳮	zhi
𣳯	zi
𣳰	ben
𣳱	jie
𣳲	jian
𣳳	xi
𣳳	xian
𣳴	fa
𣳵	ji
𣳶	pi
𣳷	peng
𣳷	ping
𣳸	xiong
𣳹	wu
𣳺	se
𣳻	ji
𣳾	tai
𣳿	yu
𣴀	se
𣴁	zhong
𣴆	yu
𣴈	yu
𣴉	men
𣴉	min
𣴉	wen
𣴊	pao
𣴌	si
𣴍	ji
𣴍	xi
𣴎	yang
𣴑	liu
𣴒	da
𣴒	tai
𣴓	jian
𣴔	su
𣴕	guang
𣴖	za
𣴗	jiang
𣴘	da
𣴙	chi
𣴛	rong
𣴝	tao
𣴞	ben
𣴟	huan
𣴟	mao
𣴠	huo
𣴡	bi
𣴢	zao
𣴣	zhuang
𣴤	xu
𣴤	yu
𣴥	kuang
𣴦	hong
𣴧	tao
𣴨	bi
𣴩	bin
𣴪	pai
𣴪	pei
𣴪	pi
𣴫	bo
𣴬	mei
𣴬	mo
𣴭	mang
𣴮	zai
𣴯	hui
𣴯	kuai
𣴱	mi
𣴱	pan
𣴲	yu
𣴳	she
𣴴	hai
𣴵	hu
𣴵	tui
𣴵	wen
𣴶	qi
𣴷	sa
𣴷	sha
𣴷	suo
𣴸	yuan
𣴹	jiao
𣴺	yuan
𣴻	se
𣴼	mao
𣴽	tan
𣴾	tuo
𣵀	nie
𣵁	tao
𣵁	yan
𣵂	yin
𣵃	yu
𣵄	chu
𣵆	ji
𣵇	ji
𣵇	liu
𣵈	mi
𣵉	yi
𣵊	han
𣵋	chong
𣵋	yong
𣵌	lu
𣵍	mei
𣵎	fu
𣵏	jin
𣵐	su
𣵑	kao
𣵔	tou
𣵔	you
𣵗	wu
𣵘	yu
𣵙	pi
𣵚	ti
𣵛	xiu
𣵜	ao
𣵞	tun
𣵟	luo
𣵠	zhuo
𣵡	han
𣵢	tan
𣵣	he
𣵤	xian
𣵥	tao
𣵥	yan
𣵦	dian
𣵧	xun
𣵨	huan
𣵩	cheng
𣵪	zhu
𣵫	shen
𣵬	tao
𣵭	wang
𣵮	bang
𣵱	an
𣵱	bi
𣵳	chong
𣵳	yong
𣵴	cen
𣵴	gan
𣵴	han
𣵷	gan
𣵷	han
𣵸	zhu
𣵹	zheng
𣵺	duo
𣵺	tuo
𣵻	duo
𣵻	tuo
𣵼	gan
𣵽	wo
𣵾	wa
𣵿	xian
𣶀	mao
𣶁	xi
𣶂	wang
𣶃	chao
𣶄	lie
𣶅	ju
𣶆	qiong
𣶇	sa
𣶇	xi
𣶇	xian
𣶈	mang
𣶈	wang
𣶉	hu
𣶊	mo
𣶋	zhe
𣶌	wen
𣶍	zhuang
𣶎	po
𣶏	die
𣶏	jie
𣶐	pao
𣶑	xiong
𣶒	yuan
𣶓	sa
𣶓	xi
𣶓	xian
𣶔	han
𣶕	kuang
𣶖	shi
𣶗	yin
𣶘	su
𣶙	xian
𣶚	xian
𣶛	xian
𣶝	ju
𣶞	tan
𣶟	cang
𣶠	qi
𣶡	can
𣶢	pang
𣶣	tuan
𣶤	sha
𣶥	huo
𣶦	tuo
𣶨	sao
𣶩	hua
𣶫	yi
𣶬	han
𣶮	su
𣶯	men
𣶰	a
𣶱	zhi
𣶲	sa
𣶲	sha
𣶲	suo
𣶴	chong
𣶵	she
𣶶	cai
𣶷	dan
𣶽	fa
𣶾	qi
𣶿	mi
𣷀	di
𣷃	yu
𣷄	geng
𣷇	hu
𣷈	yong
𣷉	han
𣷍	mei
𣷎	yu
𣷐	zu
𣷑	qi
𣷒	qu
𣷓	yi
𣷔	lei
𣷔	li
𣷕	shu
𣷗	ju
𣷘	zhu
𣷚	qi
𣷛	mei
𣷜	xian
𣷝	jiao
𣷞	ye
𣷟	xing
𣷠	min
𣷠	ming
𣷡	zhong
𣷢	xu
𣷤	hu
𣷤	tui
𣷤	wen
𣷥	shuo
𣷥	su
𣷦	qi
𣷧	fu
𣷨	yuan
𣷩	yi
𣷪	wang
𣷫	ao
𣷫	su
𣷫	you
𣷬	yuan
𣷱	shi
𣷲	shi
𣷵	qi
𣷶	su
𣷸	fan
𣷻	huan
𣷼	pu
𣷽	jin
𣷾	gui
𣷿	tuo
𣸀	hui
𣸁	jin
𣸂	xie
𣸃	xu
𣸄	zan
𣸅	huo
𣸆	zi
𣸇	bian
𣸈	sou
𣸉	da
𣸊	yin
𣸋	quan
𣸌	jie
𣸌	ke
𣸍	po
𣸎	huai
𣸏	na
𣸐	za
𣸑	liang
𣸒	ti
𣸓	ji
𣸔	ju
𣸔	qu
𣸕	shui
𣸖	wu
𣸗	ci
𣸘	yi
𣸙	tan
𣸚	she
𣸛	shuo
𣸜	fen
𣸝	xing
𣸞	man
𣸞	wan
𣸟	lie
𣸠	you
𣸡	qi
𣸢	bi
𣸣	fen
𣸣	pen
𣸤	leng
𣸥	yan
𣸦	kou
𣸧	shen
𣸨	ying
𣸪	fu
𣸫	ji
𣸫	shi
𣸮	yin
𣸯	you
𣸲	xie
𣸳	gun
𣸴	gu
𣸵	mie
𣸶	jian
𣸶	qian
𣸷	qi
𣸸	ti
𣸹	bing
𣸹	ping
𣸼	yu
𣸾	di
𣸿	hu
𣹀	gou
𣹂	du
𣹄	chong
𣹄	yong
𣹅	jian
𣹆	ke
𣹇	ke
𣹈	he
𣹈	ke
𣹉	guan
𣹊	tong
𣹋	fu
𣹌	jiao
𣹌	qiu
𣹍	sa
𣹍	xi
𣹍	xian
𣹎	xun
𣹏	chan
𣹐	yan
𣹑	sui
𣹒	min
𣹕	lv
𣹚	pi
𣹛	ku
𣹜	ji
𣹝	qiao
𣹝	xiao
𣹞	zhong
𣹟	gan
𣹠	yuan
𣹡	chi
𣹢	han
𣹣	se
𣹤	ru
𣹥	qian
𣹦	jin
𣹧	zha
𣹧	zuo
𣹨	zhe
𣹩	xie
𣹪	mao
𣹫	su
𣹬	hu
𣹭	liu
𣹮	pi
𣹯	xun
𣹰	jin
𣹱	xia
𣹲	ti
𣹳	liu
𣹴	sheng
𣹴	xing
𣹵	na
𣹶	chua
𣹷	liang
𣹸	teng
𣹹	mie
𣹺	xian
𣹻	quan
𣹼	tan
𣹽	zheng
𣹾	chun
𣹾	zhun
𣹿	pang
𣺀	wu
𣺁	xue
𣺂	yan
𣺃	ji
𣺄	ban
𣺄	pan
𣺆	yu
𣺇	pan
𣺈	yi
𣺊	jia
𣺊	qu
𣺌	miao
𣺍	gui
𣺎	jin
𣺏	man
𣺐	die
𣺑	mi
𣺒	gun
𣺓	gun
𣺔	ju
𣺕	xu
𣺗	pi
𣺙	gou
𣺝	shi
𣺞	pai
𣺟	weng
𣺡	chu
𣺢	di
𣺣	hu
𣺣	lv
𣺦	hu
𣺧	yin
𣺨	fu
𣺩	shu
𣺪	yu
𣺫	xiu
𣺬	huang
𣺭	xue
𣺮	tao
𣺯	shi
𣺰	qiao
𣺱	bi
𣺲	pi
𣺲	pie
𣺳	jiao
𣺴	ji
𣺵	zhuo
𣺶	chi
𣺷	xiong
𣺸	yang
𣺹	zhan
𣺺	tu
𣺼	dang
𣺽	bai
𣻂	yi
𣻅	jia
𣻇	tui
𣻉	zhi
𣻋	huai
𣻌	yang
𣻍	dang
𣻍	xiang
𣻎	kou
𣻏	jiao
𣻐	ju
𣻑	sha
𣻑	shai
𣻒	jing
𣻓	jing
𣻔	piao
𣻕	mo
𣻖	nou
𣻗	yi
𣻘	shuo
𣻙	lin
𣻚	shu
𣻛	zhuang
𣻜	fu
𣻞	zhi
𣻟	zang
𣻠	xie
𣻡	lang
𣻢	tong
𣻣	she
𣻤	liu
𣻥	mao
𣻦	han
𣻧	nian
𣻧	shen
𣻨	niao
𣻨	sui
𣻩	zhe
𣻩	zhi
𣻪	shu
𣻫	peng
𣻫	ping
𣻬	can
𣻭	dang
𣻮	yue
𣻯	ying
𣻰	wei
𣻱	zhou
𣻲	zi
𣻳	qing
𣻶	yin
𣻼	hao
𣻿	cui
𣼀	biao
𣼁	yang
