⺼	rou
㗦	lao
㗧	die
㗧	zhi
㗨	ai
㗨	xie
㗩	xi
㗪	pi
㗫	qie
㗬	zha
㗭	xi
㗮	ming
㗰	chu
㗰	cong
㗱	ji
㗲	huo
㗲	xi
㗳	ta
㗴	yan
㗵	xu
㗶	po
㗷	sai
㗸	xian
㗹	jiao
㗺	sa
㗻	guo
㗼	ye
㗽	xiang
㗾	xue
㗿	he
㗿	xia
㘀	zuo
㘁	yi
㘂	ci
㘃	re
㘄	leng
㘅	xian
㘆	tai
㘇	rong
㘈	ni
㘈	yi
㘉	jie
㘉	zhi
㘊	xi
㘊	yi
㘋	xian
㘌	ju
㘍	ji
㘍	qi
㘎	han
㘐	pao
㘐	peng
㘑	li
㘓	lan
㘔	can
㘔	sai
㘕	han
㘕	lan
㘖	yan
㘗	qu
㘘	pei
㘙	yan
㘚	han
㘛	kan
㘜	chi
㘜	chou
㘜	chu
㘝	lan
㘝	na
㘝	nian
㘝	nie
㘞	huo
㘟	chuang
㘠	bi
㘠	mi
㘡	xia
㘢	weng
㘣	xuan
㘣	yuan
㘤	wan
㘥	e
㘥	you
㘦	qin
㘧	xu
㘨	nei
㘨	nie
㘩	bi
㘪	hao
㘫	jing
㘬	ao
㘬	wu
㘭	ao
㘮	tu
㘮	yi
㘯	chang
㘰	zhen
㘱	tan
㘲	ju
㘳	qiu
㘴	zuo
㘵	bu
㘶	jie
㘷	ai
㘸	zang
㘸	zuo
㘹	ci
㘹	ji
㘺	fa
㘻	yin
㘽	zai
㘾	yu
㘿	nie
㙀	jiu
㙀	liu
㙁	mang
㙁	mei
㙁	mu
㙁	na
㙂	dui
㙂	weng
㙃	bang
㙄	bi
㙅	bao
㙆	hong
㙇	chu
㙈	han
㙈	xia
㙉	dian
㙉	tian
㙊	chang
㙊	zhang
㙋	qi
㙌	su
㙍	duo
㙎	wei
㙏	fu
㙐	duo
㙑	yu
㙒	ye
㙓	kui
㙔	han
㙔	wei
㙕	kuai
㙖	yu
㙗	kuai
㙗	wei
㙘	yao
㙙	long
㙚	xing
㙛	bu
㙜	chi
㙜	tai
㙝	xie
㙞	nie
㙟	lang
㙠	yi
㙡	zong
㙢	man
㙢	men
㙣	zhang
㙤	xia
㙥	gun
㙦	xie
㙧	liu
㙨	ji
㙨	qi
㙩	liao
㙪	ye
㙪	yi
㙫	ji
㙬	yin
㙭	jue
㙭	que
㙮	da
㙯	yi
㙰	xie
㙱	hao
㙲	yong
㙳	han
㙳	he
㙳	kan
㙴	chan
㙴	zhan
㙵	tai
㙶	tang
㙷	zhe
㙷	zhi
㙸	bao
㙸	bo
㙸	pu
㙹	meng
㙺	gui
㙺	kui
㙻	chan
㙻	qie
㙻	zan
㙼	lei
㙽	shi
㙾	xi
㙾	xue
㙿	xi
㚀	xi
㚁	qiao
㚁	qu
㚂	nang
㚂	rang
㚃	yun
㚄	di
㚄	zhi
㚅	long
㚆	fu
㚇	zong
㚈	chuan
㚈	wai
㚉	gu
㚊	kai
㚋	diao
㚌	hua
㚌	huo
㚍	guo
㚍	kui
㚎	qu
㚎	zai
㚎	zi
㚏	gao
㚐	tao
㚑	ling
㚒	shan
㚓	lai
㚔	nie
㚔	xing
㚕	bi
㚕	fu
㚖	gao
㚖	ze
㚗	qie
㚗	xie
㚘	ban
㚘	fu
㚘	he
㚙	jia
㚚	kong
㚛	xi
㚜	xu
㚜	yu
㚝	kui
㚝	zhui
㚞	meng
㚞	shen
㚞	ying
㚞	yun
㚟	chuo
㚠	xiao
㚡	ji
㚢	nu
㚢	wu
㚣	jiao
㚣	xiao
㚤	yi
㚥	yu
㚦	yi
㚧	yan
㚨	shen
㚩	ran
㚪	hao
㚫	sa
㚫	sha
㚫	zha
㚬	jun
㚭	you
㚮	dan
㚯	xin
㚯	xun
㚰	bi
㚱	qiu
㚲	chan
㚲	dian
㚲	shan
㚳	e
㚴	bu
㚵	dong
㚶	si
㚷	er
㚷	nai
㚸	si
㚹	mao
㚹	miao
㚺	yun
㚻	ji
㚼	hao
㚽	qiao
㚾	xiong
㚿	pao
㛀	chu
㛁	peng
㛂	nuo
㛃	jie
㛄	yi
㛅	er
㛆	duo
㛇	zhuang
㛈	kao
㛉	xi
㛊	duo
㛋	nai
㛌	mu
㛍	qie
㛍	xia
㛍	xian
㛎	lv
㛏	ou
㛏	qiu
㛐	sao
㛐	sou
㛑	can
㛒	dou
㛓	xi
㛔	feng
㛔	peng
㛕	e
㛕	yi
㛖	suo
㛗	qie
㛗	suo
㛗	zuo
㛘	po
㛙	qie
㛙	qin
㛙	shen
㛙	xin
㛚	tong
㛚	yong
㛛	xin
㛛	zhen
㛜	you
㛝	bei
㛝	beng
㛞	long
㛟	huan
㛠	xian
㛡	wan
㛢	xiu
㛣	yun
㛤	li
㛥	ta
㛦	lan
㛧	man
㛨	qiang
㛩	zhou
㛪	yan
㛪	yuan
㛫	xi
㛬	lu
㛭	xi
㛮	sao
㛯	fan
㛯	mian
㛯	zhuan
㛰	hun
㛱	rui
㛱	wei
㛲	fa
㛳	cha
㛳	yi
㛴	nao
㛵	cheng
㛶	chou
㛶	tan
㛷	ji
㛸	shu
㛹	pian
㛺	an
㛻	kua
㛻	kui
㛼	cha
㛼	sha
㛽	shan
㛾	xian
㛿	zhi
㜀	shuang
㜁	cha
㜁	zha
㜂	feng
㜃	lian
㜃	liao
㜃	mang
㜄	xun
㜅	xu
㜆	mi
㜇	hui
㜇	ye
㜈	mu
㜉	yong
㜊	pang
㜊	zhan
㜋	yi
㜌	gou
㜌	kou
㜌	nou
㜍	tang
㜎	xi
㜏	yun
㜐	shu
㜑	fu
㜑	po
㜒	yi
㜓	da
㜔	jing
㜕	lian
㜖	cao
㜗	can
㜗	chu
㜗	sen
㜗	xuan
㜘	cha
㜘	ju
㜘	qu
㜙	lu
㜚	su
㜛	nen
㜛	ruan
㜜	ao
㜝	an
㜝	yan
㜞	can
㜞	qian
㜟	gan
㜠	cui
㜡	cong
㜢	lv
㜣	nian
㜣	ran
㜣	shan
㜤	nian
㜤	shen
㜤	tan
㜤	tian
㜥	mai
㜥	mo
㜦	han
㜦	nie
㜦	si
㜦	xie
㜦	xin
㜧	yue
㜨	er
㜨	nai
㜩	ao
㜪	shen
㜪	xian
㜫	ma
㜫	mei
㜬	dan
㜬	tan
㜬	zhan
㜭	dang
㜮	lan
㜯	xi
㜰	yue
㜱	dong
㜱	zhi
㜲	weng
㜲	ying
㜳	huai
㜴	meng
㜵	niao
㜶	fan
㜶	wan
㜷	mi
㜷	nai
㜷	xian
㜸	nie
㜹	qu
㜺	zan
㜻	lian
㜼	zhi
㜽	zi
㜾	hai
㜿	xu
㝀	hao
㝁	qiong
㝁	xuan
㝁	xun
㝂	zhe
㝂	zhi
㝃	fan
㝃	mian
㝃	wan
㝄	chun
㝄	qi
㝄	run
㝅	gou
㝆	xi
㝇	chun
㝈	luan
㝉	zhu
㝊	shou
㝋	liao
㝋	liu
㝌	jie
㝌	jiu
㝌	zhou
㝍	xie
㝎	ding
㝏	jie
㝐	rong
㝑	mang
㝑	pang
㝒	ju
㝓	ge
㝓	ke
㝔	yao
㝕	ning
㝖	yi
㝖	yin
㝗	lang
㝘	yong
㝙	yin
㝚	yan
㝛	su
㝜	xi
㝝	lin
㝞	ya
㝟	kuan
㝟	mao
㝠	ming
㝡	zui
㝢	yu
㝣	ye
㝣	yi
㝤	gou
㝥	mi
㝦	jun
㝦	ya
㝧	wen
㝨	huan
㝩	kang
㝪	dian
㝪	ding
㝫	long
㝬	fu
㝬	hu
㝭	xing
㝮	cui
㝯	qiao
㝰	mian
㝱	meng
㝲	qin
㝴	wan
㝵	de
㝶	ai
㝶	de
㝷	xun
㝸	bian
㝹	nou
㝺	lian
㝺	lin
㝻	jin
㝼	yu
㝽	chui
㝽	shui
㝽	zhui
㝾	zuo
㝿	bo
㝿	fu
㝿	qian
㞀	hui
㞁	yao
㞂	tui
㞃	ji
㞄	an
㞅	guo
㞅	luo
㞆	ji
㞇	wei
㞈	bo
㞉	za
㞊	xu
㞋	ji
㞋	nian
㞌	yun
㞍	kao
㞎	ba
㞎	fu
㞎	pa
㞏	jie
㞏	zhe
㞐	ju
㞑	wei
㞒	xi
㞒	xie
㞓	ji
㞓	qi
㞔	yi
㞕	xie
㞖	ci
㞗	qiu
㞘	du
㞘	tun
㞙	niao
㞚	qi
㞚	zha
㞛	ji
㞜	tui
㞝	qi
㞞	song
㞟	dian
㞟	ding
㞠	lao
㞠	liao
㞡	zhan
㞢	zhi
㞣	fen
㞤	cen
㞤	yin
㞥	cen
㞦	ji
㞧	hui
㞨	zai
㞨	zi
㞩	lan
㞪	nao
㞫	ju
㞫	zou
㞬	qin
㞭	dai
㞮	chu
㞯	jie
㞰	xu
㞱	cong
㞲	yong
㞳	dou
㞴	chi
㞴	min
㞵	tao
㞶	min
㞷	huang
㞸	sui
㞹	ke
㞺	zu
㞻	hao
㞼	cheng
㞼	sheng
㞼	zhe
㞽	xue
㞾	ni
㞾	yi
㞿	chi
㞿	qi
㟀	lian
㟁	an
㟂	chi
㟂	mu
㟃	si
㟄	xiang
㟅	yang
㟆	hua
㟇	cuo
㟈	qiu
㟉	lao
㟊	fu
㟋	dui
㟌	mang
㟍	lang
㟎	tui
㟎	tuo
㟏	han
㟐	mang
㟑	bo
㟒	qun
㟓	qi
㟔	han
㟕	dou
