离乱	w
㊥	|hzq
㊦	|hzq
㊧	|hzq
㊨	|hzq
㊩	|hzq
㊪	|hzq
㊫	|hzq
㊬	|hzq
㊭	|hzq
㊮	|hzq
㊯	|hzq
㊰	|hzq
㉄	|hzq
㉅	|hzq
㉆	|hzq
㉇	|hzq
㈠	|hzh
㈡	|hzh
㈢	|hzh
㈣	|hzh
㈤	|hzh
㈥	|hzh
㈦	|hzh
㈧	|hzh
㈨	|hzh
㈩	|hzh
㈪	|hzh
㈫	|hzh
㈬	|hzh
㈭	|hzh
㈮	|hzh
㈯	|hzh
㈰	|hzh
㈱	|hzh
㈲	|hzh
㈳	|hzh
㈴	|hzh
㈵	|hzh
㈶	|hzh
㈷	|hzh
㈸	|hzh
㈹	|hzh
㈺	|hzh
㈻	|hzh
㈼	|hzh
㈽	|hzh
㈾	|hzh
㈿	|hzh
㉀	|hzh
㉁	|hzh
㉂	|hzh
㉃	|hzh
い	|iro
ろ	|iro
は	|iro
に	|iro
ほ	|iro
へ	|iro
と	|iro
ち	|iro
り	|iro
ぬ	|iro
る	|iro
を	|iro
わ	|iro
か	|iro
よ	|iro
た	|iro
れ	|iro
そ	|iro
つ	|iro
ね	|iro
な	|iro
ら	|iro
む	|iro
う	|iro
ゐ	|iro
の	|iro
お	|iro
く	|iro
や	|iro
ま	|iro
け	|iro
ふ	|iro
こ	|iro
え	|iro
て	|iro
あ	|iro
さ	|iro
き	|iro
ゆ	|iro
め	|iro
み	|iro
し	|iro
ゑ	|iro
ひ	|iro
も	|iro
せ	|iro
す	|iro
あ	|jm
ぁ	|jm
い	|jm
ぃ	|jm
う	|jm
ぅ	|jm
え	|jm
ぇ	|jm
お	|jm
ぉ	|jm
か	|jm
ゕ	|jm
が	|jm
き	|jm
ぎ	|jm
く	|jm
ぐ	|jm
け	|jm
ゖ	|jm
げ	|jm
こ	|jm
ご	|jm
さ	|jm
ざ	|jm
し	|jm
じ	|jm
す	|jm
ず	|jm
せ	|jm
ぜ	|jm
そ	|jm
ぞ	|jm
た	|jm
だ	|jm
ち	|jm
ぢ	|jm
つ	|jm
っ	|jm
づ	|jm
て	|jm
で	|jm
と	|jm
ど	|jm
な	|jm
に	|jm
ぬ	|jm
ね	|jm
の	|jm
は	|jm
ば	|jm
ぱ	|jm
ひ	|jm
び	|jm
ぴ	|jm
ふ	|jm
ぶ	|jm
ぷ	|jm
へ	|jm
べ	|jm
ぺ	|jm
ほ	|jm
ぼ	|jm
ぽ	|jm
ま	|jm
み	|jm
む	|jm
め	|jm
も	|jm
や	|jm
ゃ	|jm
ゆ	|jm
ゅ	|jm
よ	|jm
ょ	|jm
ら	|jm
り	|jm
る	|jm
れ	|jm
ろ	|jm
わ	|jm
ゎ	|jm
ゐ	|jm
ゔ	|jm
ゑ	|jm
を	|jm
ん	|jm
・	|jm
ー	|jm
ゝ	|jm
ゞ	|jm
ゟ	|jm
ア	|pjm
ァ	|pjm
イ	|pjm
ィ	|pjm
ウ	|pjm
ゥ	|pjm
エ	|pjm
ェ	|pjm
オ	|pjm
ォ	|pjm
カ	|pjm
ヵ	|pjm
ガ	|pjm
キ	|pjm
ギ	|pjm
ク	|pjm
グ	|pjm
ケ	|pjm
ヶ	|pjm
ゲ	|pjm
コ	|pjm
ゴ	|pjm
サ	|pjm
ザ	|pjm
シ	|pjm
ジ	|pjm
ス	|pjm
ズ	|pjm
セ	|pjm
ゼ	|pjm
ソ	|pjm
ゾ	|pjm
タ	|pjm
ダ	|pjm
チ	|pjm
ヂ	|pjm
ツ	|pjm
ッ	|pjm
ヅ	|pjm
テ	|pjm
デ	|pjm
ト	|pjm
ド	|pjm
ナ	|pjm
ニ	|pjm
ヌ	|pjm
ネ	|pjm
ノ	|pjm
ハ	|pjm
バ	|pjm
パ	|pjm
ヒ	|pjm
ビ	|pjm
ピ	|pjm
フ	|pjm
ブ	|pjm
プ	|pjm
ヘ	|pjm
ベ	|pjm
ペ	|pjm
ホ	|pjm
ボ	|pjm
ポ	|pjm
マ	|pjm
ミ	|pjm
ム	|pjm
メ	|pjm
モ	|pjm
ヤ	|pjm
ャ	|pjm
ユ	|pjm
ュ	|pjm
ヨ	|pjm
ョ	|pjm
ラ	|pjm
リ	|pjm
ル	|pjm
レ	|pjm
ロ	|pjm
ワ	|pjm
ヮ	|pjm
ヰ	|pjm
ヸ	|pjm
ヴ	|pjm
ヱ	|pjm
ヹ	|pjm
ヲ	|pjm
ヺ	|pjm
ン	|pjm
・	|pjm
ー	|pjm
ヽ	|pjm
ヾ	|pjm
ヿ	|pjm
ㇰ	|pjm
ㇱ	|pjm
ㇲ	|pjm
ㇳ	|pjm
ㇴ	|pjm
ㇵ	|pjm
ㇶ	|pjm
ㇷ	|pjm
ㇸ	|pjm
ㇹ	|pjm
ㇺ	|pjm
ㇻ	|pjm
ㇼ	|pjm
ㇽ	|pjm
ㇾ	|pjm
ㇿ	|pjm
か	|jmk
ゕ	|jmk
き	|jmk
く	|jmk
け	|jmk
ゖ	|jmk
こ	|jmk
カ	|jmk
ヵ	|jmk
キ	|jmk
ク	|jmk
ケ	|jmk
ヶ	|jmk
コ	|jmk
が	|jmg
ぎ	|jmg
ぐ	|jmg
げ	|jmg
ご	|jmg
ガ	|jmg
ギ	|jmg
グ	|jmg
ゲ	|jmg
ゴ	|jmg
さ	|jms
し	|jms
す	|jms
せ	|jms
そ	|jms
サ	|jms
シ	|jms
ス	|jms
セ	|jms
ソ	|jms
ざ	|jmz
じ	|jmz
ず	|jmz
ぜ	|jmz
ぞ	|jmz
ザ	|jmz
ジ	|jmz
ズ	|jmz
ゼ	|jmz
ゾ	|jmz
た	|jmt
ち	|jmt
つ	|jmt
っ	|jmt
て	|jmt
と	|jmt
タ	|jmt
チ	|jmt
ツ	|jmt
ッ	|jmt
テ	|jmt
ト	|jmt
だ	|jmd
ぢ	|jmd
づ	|jmd
で	|jmd
ど	|jmd
ダ	|jmd
ヂ	|jmd
ヅ	|jmd
デ	|jmd
ド	|jmd
な	|jmn
に	|jmn
ぬ	|jmn
ね	|jmn
の	|jmn
ん	|jmn
ナ	|jmn
ニ	|jmn
ヌ	|jmn
ネ	|jmn
ノ	|jmn
ン	|jmn
は	|jmh
ひ	|jmh
ふ	|jmh
へ	|jmh
ほ	|jmh
ハ	|jmh
ヒ	|jmh
フ	|jmh
ヘ	|jmh
ホ	|jmh
ば	|jmb
び	|jmb
ぶ	|jmb
べ	|jmb
ぼ	|jmb
バ	|jmb
ビ	|jmb
ブ	|jmb
ベ	|jmb
ボ	|jmb
ぱ	|jmp
ぴ	|jmp
ぷ	|jmp
ぺ	|jmp
ぽ	|jmp
パ	|jmp
ピ	|jmp
プ	|jmp
ペ	|jmp
ポ	|jmp
ま	|jmm
み	|jmm
む	|jmm
め	|jmm
も	|jmm
マ	|jmm
ミ	|jmm
ム	|jmm
メ	|jmm
モ	|jmm
や	|jmy
ゃ	|jmy
ゆ	|jmy
ゅ	|jmy
よ	|jmy
ょ	|jmy
ヤ	|jmy
ャ	|jmy
ユ	|jmy
ュ	|jmy
ヨ	|jmy
ョ	|jmy
ら	|jmr
り	|jmr
る	|jmr
れ	|jmr
ろ	|jmr
ラ	|jmr
リ	|jmr
ル	|jmr
レ	|jmr
ロ	|jmr
わ	|jmw
ゐ	|jmw
ゑ	|jmw
を	|jmw
ワ	|jmw
ヰ	|jmw
ヱ	|jmw
ヲ	|jmw
あ	|jma
か	|jma
が	|jma
さ	|jma
ざ	|jma
た	|jma
だ	|jma
な	|jma
は	|jma
ば	|jma
ぱ	|jma
ま	|jma
や	|jma
ら	|jma
わ	|jma
ア	|jma
カ	|jma
ガ	|jma
サ	|jma
ザ	|jma
タ	|jma
ダ	|jma
ナ	|jma
ハ	|jma
バ	|jma
パ	|jma
マ	|jma
ヤ	|jma
ラ	|jma
ワ	|jma
い	|jmi
き	|jmi
ぎ	|jmi
し	|jmi
じ	|jmi
ち	|jmi
ぢ	|jmi
に	|jmi
ひ	|jmi
び	|jmi
ぴ	|jmi
み	|jmi
り	|jmi
ゐ	|jmi
イ	|jmi
キ	|jmi
ギ	|jmi
シ	|jmi
ジ	|jmi
チ	|jmi
ヂ	|jmi
ニ	|jmi
ヒ	|jmi
ビ	|jmi
ピ	|jmi
ミ	|jmi
リ	|jmi
ヰ	|jmi
う	|jmu
く	|jmu
ぐ	|jmu
す	|jmu
ず	|jmu
つ	|jmu
づ	|jmu
ぬ	|jmu
ふ	|jmu
ぶ	|jmu
ぷ	|jmu
む	|jmu
る	|jmu
ウ	|jmu
ク	|jmu
グ	|jmu
ス	|jmu
ズ	|jmu
ツ	|jmu
ヅ	|jmu
ヌ	|jmu
フ	|jmu
ブ	|jmu
プ	|jmu
ム	|jmu
ル	|jmu
え	|jme
け	|jme
げ	|jme
せ	|jme
ぜ	|jme
て	|jme
で	|jme
ね	|jme
へ	|jme
べ	|jme
ぺ	|jme
め	|jme
れ	|jme
ゑ	|jme
エ	|jme
ケ	|jme
ゲ	|jme
セ	|jme
ゼ	|jme
テ	|jme
デ	|jme
ネ	|jme
ヘ	|jme
ベ	|jme
ペ	|jme
メ	|jme
レ	|jme
ヱ	|jme
お	|jmo
こ	|jmo
ご	|jmo
そ	|jmo
ぞ	|jmo
と	|jmo
ど	|jmo
の	|jmo
ほ	|jmo
ぼ	|jmo
ぽ	|jmo
も	|jmo
ろ	|jmo
を	|jmo
オ	|jmo
コ	|jmo
ゴ	|jmo
ソ	|jmo
ゾ	|jmo
ト	|jmo
ド	|jmo
ノ	|jmo
ホ	|jmo
ボ	|jmo
ポ	|jmo
モ	|jmo
ロ	|jmo
ヲ	|jmo
㋐	|jmq
㋑	|jmq
㋒	|jmq
㋓	|jmq
㋔	|jmq
㋕	|jmq
㋖	|jmq
㋗	|jmq
㋘	|jmq
㋙	|jmq
㋚	|jmq
㋛	|jmq
㋜	|jmq
㋝	|jmq
㋞	|jmq
㋟	|jmq
㋠	|jmq
㋡	|jmq
㋢	|jmq
㋣	|jmq
㋤	|jmq
㋥	|jmq
㋦	|jmq
㋧	|jmq
㋨	|jmq
㋩	|jmq
㋪	|jmq
㋫	|jmq
㋬	|jmq
㋭	|jmq
㋮	|jmq
㋯	|jmq
㋰	|jmq
㋱	|jmq
㋲	|jmq
㋳	|jmq
㋴	|jmq
㋵	|jmq
㋶	|jmq
㋷	|jmq
㋸	|jmq
㋹	|jmq
㋺	|jmq
㋻	|jmq
㋼	|jmq
㋽	|jmq
㋾	|jmq
ｱ	|jmbj
ｧ	|jmbj
ｲ	|jmbj
ｨ	|jmbj
ｳ	|jmbj
ｩ	|jmbj
ｴ	|jmbj
ｪ	|jmbj
ｵ	|jmbj
ｫ	|jmbj
ｶ	|jmbj
ｷ	|jmbj
ｸ	|jmbj
ｹ	|jmbj
ｺ	|jmbj
ｻ	|jmbj
ｼ	|jmbj
ｽ	|jmbj
ｾ	|jmbj
ｿ	|jmbj
ﾀ	|jmbj
ﾁ	|jmbj
ﾂ	|jmbj
ｯ	|jmbj
ﾃ	|jmbj
ﾄ	|jmbj
ﾅ	|jmbj
ﾆ	|jmbj
ﾇ	|jmbj
ﾈ	|jmbj
ﾉ	|jmbj
ﾊ	|jmbj
ﾋ	|jmbj
ﾌ	|jmbj
ﾍ	|jmbj
ﾎ	|jmbj
ﾏ	|jmbj
ﾐ	|jmbj
ﾑ	|jmbj
ﾒ	|jmbj
ﾓ	|jmbj
ﾔ	|jmbj
ｬ	|jmbj
ﾕ	|jmbj
ｭ	|jmbj
ﾖ	|jmbj
ｮ	|jmbj
ﾗ	|jmbj
ﾘ	|jmbj
ﾙ	|jmbj
ﾚ	|jmbj
ﾛ	|jmbj
ﾜ	|jmbj
ｦ	|jmbj
ﾝ	|jmbj
･	|jmbj
ｰ	|jmbj
ﾞ	|jmbj
ﾟ	|jmbj
ㄱ	|hw
ㄴ	|hw
ㄷ	|hw
ㄹ	|hw
ㅁ	|hw
ㅂ	|hw
ㅅ	|hw
ㅇ	|hw
ㅈ	|hw
ㅊ	|hw
ㅋ	|hw
ㅌ	|hw
ㅍ	|hw
ㅎ	|hw
㉠	|hwq
㉡	|hwq
㉢	|hwq
㉣	|hwq
㉤	|hwq
㉥	|hwq
㉦	|hwq
㉧	|hwq
㉨	|hwq
㉩	|hwq
㉪	|hwq
㉫	|hwq
㉬	|hwq
㉭	|hwq
㉮	|hwq
㉯	|hwq
㉰	|hwq
㉱	|hwq
㉲	|hwq
㉳	|hwq
㉴	|hwq
㉵	|hwq
㉶	|hwq
㉷	|hwq
㉸	|hwq
㉹	|hwq
㉺	|hwq
㉻	|hwq
㉼	|hwq
㉽	|hwq
㉾	|hwq
㉿	|hwq
㈀	|hwh
㈁	|hwh
㈂	|hwh
㈃	|hwh
㈄	|hwh
㈅	|hwh
㈆	|hwh
㈇	|hwh
㈈	|hwh
㈉	|hwh
㈊	|hwh
㈋	|hwh
㈌	|hwh
㈍	|hwh
㈎	|hwh
㈏	|hwh
㈐	|hwh
㈑	|hwh
㈒	|hwh
㈓	|hwh
㈔	|hwh
㈕	|hwh
㈖	|hwh
㈗	|hwh
㈘	|hwh
㈙	|hwh
㈚	|hwh
㈛	|hwh
㈜	|hwh
㈝	|hwh
㈞	|hwh
