离乱	w
⅖	|fs
⅗	|fs
⅘	|fs
⅙	|fs
⅚	|fs
⅐	|fs
⅛	|fs
⅜	|fs
⅝	|fs
⅞	|fs
⅑	|fs
⅒	|fs
〡	|szm
〢	|szm
〣	|szm
〤	|szm
〥	|szm
〦	|szm
〧	|szm
〨	|szm
〩	|szm
〸	|szm
〹	|szm
〺	|szm
ⅰ	|lm
ⅱ	|lm
ⅲ	|lm
ⅳ	|lm
ⅴ	|lm
ⅵ	|lm
ⅶ	|lm
ⅷ	|lm
ⅸ	|lm
ⅹ	|lm
ⅺ	|lm
ⅻ	|lm
ⅼ	|lm
ⅽ	|lm
ⅾ	|lm
ⅿ	|lm
Ⅰ	|lmd
Ⅱ	|lmd
Ⅲ	|lmd
Ⅳ	|lmd
Ⅴ	|lmd
Ⅵ	|lmd
Ⅶ	|lmd
Ⅷ	|lmd
Ⅸ	|lmd
Ⅹ	|lmd
Ⅺ	|lmd
Ⅻ	|lmd
Ⅼ	|lmd
Ⅽ	|lmd
Ⅾ	|lmd
Ⅿ	|lmd
ā	|a
á	|a
ǎ	|a
à	|a
ȁ	|a
â	|a
ă	|a
ȃ	|a
ȧ	|a
ä	|a
å	|a
ã	|a
ₐ	|a
ᵃ	|a
ª	|a
ⱥ	|a
ꬰ	|a
ả	|a
ą	|a
ạ	|a
ḁ	|a
ẚ	|a
ấ	|a
ầ	|a
ẫ	|a
ẩ	|a
ắ	|a
ằ	|a
ẵ	|a
ẳ	|a
ǡ	|a
ǟ	|a
ǻ	|a
ậ	|a
ặ	|a
ᶏ	|a
ɐ	|a
ᵄ	|a
ɑ	|a
ᵅ	|a
ᶐ	|a
ɒ	|a
ᶛ	|a
Ā	|A
Á	|A
Ǎ	|A
À	|A
Ȁ	|A
Â	|A
Ă	|A
Ȃ	|A
Ȧ	|A
Ä	|A
Å	|A
Ã	|A
ᴀ	|A
ᴬ	|A
Ⱥ	|A
Ả	|A
Ą	|A
Ạ	|A
Ḁ	|A
Ấ	|A
Ầ	|A
Ẫ	|A
Ẩ	|A
Ắ	|A
Ằ	|A
Ẵ	|A
Ẳ	|A
Ǡ	|A
Ǟ	|A
Ǻ	|A
Ậ	|A
Ặ	|A
Ɐ	|A
Ɑ	|A
Ɒ	|A
ḃ	|b
ḅ	|b
ᵇ	|b
ƀ	|b
ƃ	|b
ḇ	|b
ɓ	|b
ᵬ	|b
ᶀ	|b
ꞗ	|b
Ḃ	|B
Ḅ	|B
ʙ	|B
ᴃ	|B
ᴮ	|B
ᴯ	|B
Ƀ	|B
Ƃ	|B
Ḇ	|B
Ɓ	|B
Ꞗ	|B
ç	|c
ć	|c
č	|c
ĉ	|c
ċ	|c
ᶜ	|c
ȼ	|c
ꞓ	|c
ƈ	|c
ḉ	|c
ꞔ	|c
ɕ	|c
ᶝ	|c
ꜿ	|c
Ç	|C
Ć	|C
Č	|C
Ĉ	|C
Ċ	|C
ᴄ	|C
Ȼ	|C
Ꞓ	|C
Ƈ	|C
Ḉ	|C
Ꜿ	|C
ď	|d
ḋ	|d
ᵈ	|d
đ	|d
ƌ	|d
ᵭ	|d
ḑ	|d
ḓ	|d
ḏ	|d
ḍ	|d
ɖ	|d
ɗ	|d
ᶑ	|d
ᶁ	|d
ð	|d
ᶞ	|d
ꝱ	|d
ʤ	|d
ʣ	|d
ʥ	|d
ȡ	|d
ƍ	|d
ǳ	|d
ǆ	|d
ẟ	|d
Ď	|D
Ḋ	|D
ᴅ	|D
ᴆ	|D
ᴰ	|D
Đ	|D
Ƌ	|D
Ḑ	|D
Ḓ	|D
Ḏ	|D
Ḍ	|D
Ɖ	|D
Ɗ	|D
Ð	|D
Ǳ	|D
ǲ	|D
Ǆ	|D
ǅ	|D
ē	|e
é	|e
ě	|e
è	|e
ȅ	|e
ê	|e
ĕ	|e
ȇ	|e
ė	|e
ë	|e
ẽ	|e
ₑ	|e
ᵉ	|e
ɇ	|e
ꬳ	|e
ẻ	|e
ȩ	|e
ę	|e
ḙ	|e
ẹ	|e
ḛ	|e
ḗ	|e
ḕ	|e
ế	|e
ề	|e
ễ	|e
ể	|e
ḝ	|e
ệ	|e
ᶒ	|e
ꬴ	|e
ɘ	|e
ə	|e
ɚ	|e
ᶕ	|e
ɛ	|e
ᵋ	|e
ᶓ	|e
ɜ	|e
ᵌ	|e
ᴈ	|e
ᶟ	|e
ɝ	|e
ᶔ	|e
ɞ	|e
ʚ	|e
ǝ	|e
ₔ	|e
ᵊ	|e
ȝ	|e
ⱸ	|e
Ē	|E
É	|E
Ě	|E
È	|E
Ȅ	|E
Ê	|E
Ĕ	|E
Ȇ	|E
Ė	|E
Ë	|E
Ẽ	|E
ᴇ	|E
ᴱ	|E
Ɇ	|E
Ẻ	|E
Ȩ	|E
Ę	|E
Ḙ	|E
Ẹ	|E
Ḛ	|E
Ḗ	|E
Ḕ	|E
Ế	|E
Ề	|E
Ễ	|E
Ể	|E
Ḝ	|E
Ệ	|E
Ə	|E
Ɛ	|E
Ɜ	|E
Ǝ	|E
ⱻ	|E
ᴲ	|E
Ȝ	|E
ḟ	|f
ᶠ	|f
ƒ	|f
ᵮ	|f
ᶂ	|f
ꞙ	|f
Ḟ	|F
ꜰ	|F
Ƒ	|F
Ꞙ	|F
ꟻ	|F
ḡ	|g
ǵ	|g
ǧ	|g
ĝ	|g
ğ	|g
ġ	|g
ᵍ	|g
ǥ	|g
ꞡ	|g
ģ	|g
ɠ	|g
ᵷ	|g
ᶃ	|g
ɡ	|g
ꬶ	|g
ᶢ	|g
ɣ	|g
ˠ	|g
ɤ	|g
ᵹ	|g
Ḡ	|G
Ǵ	|G
Ǧ	|G
Ĝ	|G
Ğ	|G
Ġ	|G
ʛ	|G
ᴳ	|G
Ǥ	|G
Ꞡ	|G
Ģ	|G
Ɠ	|G
Ɡ	|G
Ɣ	|G
ĥ	|h
ȟ	|h
ḣ	|h
ḧ	|h
ͪ	|h
ħ	|h
ɦ	|h
ʱ	|h
ꜧ	|h
ꭜ	|h
ɧ	|h
ḩ	|h
ẖ	|h
ḫ	|h
ḥ	|h
ⱨ	|h
ꞕ	|h
ɥ	|h
ᶣ	|h
ʮ	|h
ʯ	|h
ⱶ	|h
Ĥ	|H
Ȟ	|H
Ḣ	|H
Ḧ	|H
ʜ	|H
ᴴ	|H
Ħ	|H
Ɦ	|H
Ꜧ	|H
Ḩ	|H
Ḫ	|H
Ḥ	|H
Ⱨ	|H
Ɥ	|H
Ⱶ	|H
ī	|i
í	|i
ǐ	|i
ì	|i
ȉ	|i
î	|i
ĭ	|i
ȋ	|i
ï	|i
ĩ	|i
ı	|i
ᵢ	|i
ɨ	|i
ᶤ	|i
ỉ	|i
į	|i
ị	|i
ḭ	|i
